Handle,Title,Shopify URL,Thumbnail URL,Pages,Page Size (cm),DPI,Scale (%),Margin X (cm),Margin Y (cm),Row Gap (cm),Grid,Fit,Layout Image,Mural Width (cm),Mural Height (cm),Mural Width (px),Mural Height (px)
"Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)","Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)",,,235,10.79×18.0,600,100,2.0,2.0,1.0,4×59,Yes,"D:\NormalizedModeFacsimiles\Crane, Stephen, The Red Badge of Courage, 1898 facsimile (235)\layout.png",43.16,1120.0,10200,264509
"Johnson, Samuel, Rasselas, 1960 facsimile (125)","Johnson, Samuel, Rasselas, 1960 facsimile (125)",,,125,11.7×18.0,600,100,2.0,2.0,1.0,4×32,Yes,"D:\NormalizedModeFacsimiles\Johnson, Samuel, Rasselas, 1960 facsimile (125)\layout.png",46.8,607.0,11052,143354
"Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163)","Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163)",,,163,11.7×18.0,600,100,2.0,2.0,1.0,4×41,Yes,"D:\NormalizedModeFacsimiles\Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163)\layout.png",46.8,778.0,11052,183739
"Woolf, Virginia, A Room of One's Own, 1935 facsimile (172)","Woolf, Virginia, A Room of One's Own, 1935 facsimile (172)",,,172,11.7×18.9,600,100,2.0,2.0,1.0,4×43,Yes,"D:\NormalizedModeFacsimiles\Woolf, Virginia, A Room of One's Own, 1935 facsimile (172)\layout.png",46.8,854.7,11052,201873
"Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296)","Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296)",,,296,10.79×18.0,600,100,2.0,2.0,1.0,4×74,Yes,"D:\NormalizedModeFacsimiles\Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296)\layout.png",43.16,1405.0,10200,331818
