Folder,Pages,Page Size (cm),Fit,Scale (%),Margin X (cm),Margin Y (cm),Row Gap (cm),Grid,Layout Image
"Oscar Wilde, The Young King, 1908 facsimile (32)",32,10.79x18.0,True,95,13.87,14.3,1,9x4,D:\csv\mural_layouts\Oscar_Wilde__The_Young_King__1908_facsimile__32__layout.png
"Oscar Wilde, Three Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, 1908 facsimile (49)",49,10.79x18.0,True,95,8.75,5.25,1,10x5,D:\csv\mural_layouts\Oscar_Wilde__Three_Stories__The_Happy_Prince__The_Nightingale_and_the_Rose__The_Selfish_Giant__1908_facsimile__49__layout.png
"Oscar Wilde, Two Stories, The Happy Prince, The Selfish Giant, 1908 facsimile (34)",34,10.79x18.0,True,95,13.87,14.3,1,9x4,D:\csv\mural_layouts\Oscar_Wilde__Two_Stories__The_Happy_Prince__The_Selfish_Giant__1908_facsimile__34__layout.png
"11 PG Wodehouse stories, featuring 7 Blandings stories and 4 Mr Mulliner stories from the volume Blandings Castle, 1935 facsimile (281)",281,11.7x17.1,False,,,,,,
"2 Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, 1935 facsimile (58)",58,11.7x17.1,False,,,,,,
"3 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, 1935 facsimile (85)",85,11.7x17.1,False,,,,,,
"4 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, 1935 facsimile (110)",110,11.7x17.1,False,,,,,,
"5 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, The Go-Getter, 1935 facsimile (136)",136,11.7x17.1,False,,,,,,
"7 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY! and 4 more, 1935 facsimile (191)",191,11.7x17.1,False,,,,,,
"PG Wodehouse, 2 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, 1935 facsimile (45)",45,11.7x17.1,True,95,9.98,7.39,1,9x5,D:\csv\mural_layouts\PG_Wodehouse__2_selected_Mr_Mulliner_Stories__The_Nodder__The_Juice_of_an_Orange__1935_facsimile__45__layout.png
"PG Wodehouse, 4 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, The Rise of Minna Nordstrom, The Castaways, 1935 facsimile (91)",91,11.7x17.1,False,,,,,,
