Slug,Product Title,Local Image Exists,Shopify Image Count,Low-Res Shopify Image
saki-hh-munro-biography-of-saki-by-his-sister-ethel-munro-including-drawings-by-saki-1939-facsimile-81,"Saki, HH Munro, Biography of Saki by his sister Ethel Munro, including drawings by Saki, 1939 facsimile  (81)",✅,1,✅
saki-hh-munro-the-chronicles-of-clovis-including-adrian-filboid-studge-the-way-to-the-dairy-the-secret-sin-of-septimus-brope-and-more-than-14-others-1939-facsimile-103,"Saki, HH Munro, The Chronicles of Clovis, including Adrian, Filboid Studge, The Way to the Dairy, The Secret Sin of Septimus Brope and more than 14 others, 1939 facsimile (103)",✅,1,✅
saki-hh-munro-the-chronicles-of-clovis-including-the-unrest-cure-tobermory-filboid-studge-sredni-vashtar-and-more-than-20-others-1939-facsimile-153,"Saki, HH Munro, The Chronicles of Clovis, including The Unrest-Cure, Tobermory, Filboid Studge, Sredni Vashtar and more than 20 others, 1939 facsimile (153)",✅,1,✅
saki-hh-munro-the-chronicles-of-clovis-including-tobermory-the-jesting-of-arlington-stringham-mrs-packletides-tiger-and-six-others-1939-facsimile-50,"Saki, HH Munro, The Chronicles of Clovis, including Tobermory, The Jesting of Arlington Stringham, Mrs Packletide's Tiger and six others, 1939 facsimile (50)",✅,1,✅
saki-hh-munro-the-toys-of-peace-including-the-mappined-life-the-bull-the-hedgehog-tea-and-20-others-1939-facsimile-120,"Saki, HH Munro, The Toys of Peace, including The Mappined Life,  The Bull, The Hedgehog, Tea and 20 others, 1939 facsimile (120)",✅,1,✅
saki-hh-munro-the-toys-of-peace-including-the-mappined-life-the-seven-cream-jugs-the-bull-the-hedgehog-and-29-others-1939-facsimile-167,"Saki, HH Munro, The Toys of Peace, including The Mappined Life, The Seven Cream Jugs, The Bull, The Hedgehog and 29 others, 1939 facsimile (167)",✅,1,✅
voltaire-candide-chapters-1-13-facsimile-c-1950-63,"Voltaire, Candide, Chapters 1-13, facsimile c. 1950 (63)",✅,1,✅
voltaire-candide-facsimile-c-1950-244,"Voltaire, Candide, facsimile c. 1950 (244)",✅,1,✅
voltaire-candide-part-one-facsimile-c-1950-159,"Voltaire, Candide, Part One, facsimile c. 1950 (159)",✅,1,✅
wells-hg-2-stories-from-the-collection-the-stolen-bacillus-the-temptation-of-harringay-and-the-flying-man-1895-facsimile-31,"Wells, HG, 2 Stories from the collection The Stolen Bacillus, The Temptation of Harringay and The Flying Man, 1895 facsimile (31)",✅,1,✅
wells-hg-2-stories-from-the-collection-the-stolen-bacillus-the-title-story-and-in-the-avu-observatory-1895-facsimile-55,"Wells, HG, 2 Stories from the collection The Stolen Bacillus, the title story and In the Avu Observatory, 1895 facsimile (55)",✅,1,✅
wells-hg-2-stories-from-the-collection-the-stolen-bacillus-triumphs-of-a-taxidermist-and-through-a-window-1895-facsimile-42,"Wells, HG, 2 Stories from the collection The Stolen Bacillus, Triumphs of a Taxidermist and Through a Window, 1895 facsimile (42)",✅,1,✅
wells-hg-3-stories-from-the-collection-the-stolen-bacillus-the-hammerpond-park-burglary-a-moth-genus-novo-the-treasure-in-the-forest-1895-facsimile-65,"Wells, HG, 3 Stories from the collection The Stolen Bacillus, The Hammerpond Park Burglary, A Moth Genus Novo, The Treasure in the Forest, 1895 facsimile (65)",✅,1,✅
wells-hg-9-stories-from-the-collection-the-stolen-bacillus-1895-facsimile-186,"Wells, HG, 9 stories from the collection The Stolen Bacillus, 1895 facsimile (186)",✅,1,✅
wilde-oscar-five-stories-the-happy-prince-the-nightingale-and-the-rose-the-selfish-giant-the-young-king-the-star-child-1908-facsimile-118,"Wilde, Oscar, Five Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, The Star Child, 1908 facsimile (118)",✅,1,✅
wilde-oscar-four-stories-the-happy-prince-the-nightingale-and-the-rose-the-selfish-giant-the-young-king-1908-facsimile-81,"Wilde, Oscar, Four Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, The Young King, 1908 facsimile (81)",✅,1,✅
wilde-oscar-lord-arthur-saviles-crime-and-3-other-stories-1891-facsimile-163,"Wilde, Oscar, Lord Arthur Savile's Crime and 3 other stories, 1891 facsimile (163)",✅,1,✅
wilde-oscar-the-happy-prince-1908-facsimile-23,"Wilde, Oscar, The Happy Prince, 1908 facsimile (23)",✅,1,✅
wilde-oscar-the-nightingale-and-the-rose-1908-facsimile-15,"Wilde, Oscar, The Nightingale and the Rose, 1908 facsimile (15)",✅,1,✅
wilde-oscar-the-selfish-giant-1908-facsimile-11,"Wilde, Oscar, The Selfish Giant, 1908 facsimile (11)",✅,1,✅
wilde-oscar-the-star-child-1908-facsimile-37,"Wilde, Oscar, The Star Child, 1908 facsimile (37)",✅,1,✅
wilde-oscar-the-young-king-1908-facsimile-32,"Wilde, Oscar, The Young King, 1908 facsimile (32)",✅,1,✅
wilde-oscar-three-stories-the-happy-prince-the-nightingale-and-the-rose-the-selfish-giant-1908-facsimile-49,"Wilde, Oscar, Three Stories, The Happy Prince, The Nightingale and the Rose, The Selfish Giant, 1908 facsimile (49)",✅,1,✅
wilde-oscar-two-stories-the-happy-prince-the-selfish-giant-1908-facsimile-34,"Wilde, Oscar, Two Stories, The Happy Prince, The Selfish Giant, 1908 facsimile (34)",✅,1,✅
wodehouse-pg-11-pg-wodehouse-stories-featuring-7-blandings-stories-and-4-mr-mulliner-stories-from-the-volume-blandings-castle-1935-facsimile-281,"Wodehouse, PG, 11 PG Wodehouse stories, featuring 7 Blandings stories and 4 Mr Mulliner stories from the volume Blandings Castle, 1935 facsimile (281)",✅,1,✅
wodehouse-pg-2-selected-mr-mulliner-stories-the-nodder-the-juice-of-an-orange-1935-facsimile-45,"Wodehouse, PG, 2 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, 1935 facsimile (45)",✅,1,✅
wodehouse-pg-2-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-1935-facsimile-58,"Wodehouse, PG, 2 Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, 1935 facsimile (58)",✅,1,✅
wodehouse-pg-3-pg-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-1935-facsimile-85,"Wodehouse, PG, 3 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, 1935 facsimile (85)",✅,1,✅
wodehouse-pg-4-pg-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-company-for-gertrude-1935-facsimile-110,"Wodehouse, PG, 4 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, 1935 facsimile (110)",✅,1,✅
wodehouse-pg-4-selected-mr-mulliner-stories-the-nodder-the-juice-of-an-orange-the-rise-of-minna-nordstrom-the-castaways-1935-facsimile-91,"Wodehouse, PG, 4 selected Mr Mulliner Stories, The Nodder, The Juice of an Orange, The Rise of Minna Nordstrom, The Castaways, 1935 facsimile (91)",✅,1,✅
wodehouse-pg-5-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-company-for-gertrude-the-go-getter-1935-facsimile-136,"Wodehouse, PG, 5 Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY!, Company for Gertrude, The Go-Getter, 1935 facsimile (136)",✅,1,✅
wodehouse-pg-7-pg-wodehouse-blandings-stories-the-custody-of-the-pumpkin-lord-emsworth-acts-for-the-best-pig-hoo-o-o-o-ey-and-4-more-1935-facsimile-191,"Wodehouse, PG, 7 PG Wodehouse Blandings stories, The Custody of the Pumpkin, Lord Emsworth Acts for the Best, PIG-HOO-O-O-O-EY! and 4 more, 1935 facsimile (191)",✅,1,✅
woolf-virginia-a-room-of-ones-own-1935-facsimile-172,"Woolf, Virginia, A Room of One's Own, 1935 facsimile (172)",✅,1,✅
woolf-virginia-mrs-dalloway-1925-facsimile-296,"Woolf, Virginia, Mrs Dalloway, 1925 facsimile (296)",✅,1,✅
