Author Prefix,Normalized Filename,Shopify URL
"Mansfield,","Mansfield,_Katherine_Bliss_and_Other_stories_1921_facsimile_287.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Mansfield_Katherine_Bliss_and_Other_stories_1921_facsimile_287.jpg?v=1759984956
"Poe,","Poe,_EA_The_Oval_Portrait_and_13_More_Stories_including_The_Black_Cat_the_Tell-Tale_Heart_and_the_Pit_and_the_Pendulum_1946_facsimile_161.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Poe_EA_The_Oval_Portrait_and_13_More_Stories_including_The_Black_Cat_the_Tell-Tale_Heart_and_the_Pit_and_the_Pendulum_1946_facsimile_161.jpg?v=1759984957
"Poe,","Poe,_EA_The_Man_Who_Was_Used_Up_and_13_Other_Stories_including_The_Murders_in_the_Rue_Morgue_and_the_Fall_of_the_House_of_Usher_1946_facsimile_127.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Poe_EA_The_Man_Who_Was_Used_Up_and_13_Other_Stories_including_The_Murders_in_the_Rue_Morgue_and_the_Fall_of_the_House_of_Usher_1946_facsimile_127.jpg?v=1759984957
"Poe,","Poe,_EA_Poems_featuring_The_Raven_The_Bells_Lenore_Annabel_Lee_and_45_others_1946_facsimile_77.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Poe_EA_Poems_featuring_The_Raven_The_Bells_Lenore_Annabel_Lee_and_45_others_1946_facsimile_77.jpg?v=1759984956
"Poe,","Poe,_EA_28_stories_including_The_Murders_in_the_Rue_Morgue_The_Fall_of_the_House_of_Usher_The_Black_Cat_the_Tell-Tale_Heart_and_the_Pit_and_the_Pendulum_1946_facsimile_288.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Poe_EA_28_stories_including_The_Murders_in_the_Rue_Morgue_The_Fall_of_the_House_of_Usher_The_Black_Cat_the_Tell-Tale_Heart_and_the_Pit_and_the_Pendulum_1946_facsimile_288.jpg?v=1759984957
"Saki,","Saki,_HH_Munro_Beasts_and_Super-Beasts_including_The_She-Wolf_the_Boar-Pig_Laura_The_Brogue_and_2_others_1939_facsimile_35.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Saki_HH_Munro_Beasts_and_Super-Beasts_including_The_She-Wolf_the_Boar-Pig_Laura_The_Brogue_and_2_others_1939_facsimile_35.jpg?v=1759996247
"Saki,","Saki,_HH_Munro_The_Chronicles_of_Clovis_including_Adrian_Filboid_Studge_The_Way_to_the_Dairy_The_Secret_Sin_of_Septimus_Brope_and_more_than_14_others_1939_facsimile_103.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Saki_HH_Munro_The_Chronicles_of_Clovis_including_Adrian_Filboid_Studge_The_Way_to_the_Dairy_The_Secret_Sin_of_Septimus_Brope_and_more_than_14_others_1939_facsimile_103.jpg?v=1759996246
"Saki,","Saki,_HH_Munro_The_Chronicles_of_Clovis_including_The_Unrest-Cure_Tobermory_Filboid_Studge_Sredni_Vashtar_and_more_than_20_others_1939_facsimile_153.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Saki_HH_Munro_The_Chronicles_of_Clovis_including_The_Unrest-Cure_Tobermory_Filboid_Studge_Sredni_Vashtar_and_more_than_20_others_1939_facsimile_153.jpg?v=1759996246
"Saki,","Saki,_HH_Munro_The_Toys_of_Peace_including_The_Mappined_Life_The_Bull_The_Hedgehog_Tea_and_20_others_1939_facsimile_120.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Saki_HH_Munro_The_Toys_of_Peace_including_The_Mappined_Life_The_Bull_The_Hedgehog_Tea_and_20_others_1939_facsimile_120.jpg?v=1759996247
"Saki,","Saki,_HH_Munro_The_Chronicles_of_Clovis_including_Tobermory_The_Jesting_of_Arlington_Stringham_Mrs_Packletide_s_Tiger_and_six_others_1939_facsimile_50.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Saki_HH_Munro_The_Chronicles_of_Clovis_including_Tobermory_The_Jesting_of_Arlington_Stringham_Mrs_Packletide_s_Tiger_and_six_others_1939_facsimile_50.jpg?v=1759996246
"Saki,","Saki,_HH_Munro_Beasts_and_Super-Beasts_including_The_Seventh_Pullet_The_She-Wolf_Laura_The_Brogue_and_more_than_12_others_1939_facsimile_85.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Saki_HH_Munro_Beasts_and_Super-Beasts_including_The_Seventh_Pullet_The_She-Wolf_Laura_The_Brogue_and_more_than_12_others_1939_facsimile_85.jpg?v=1759996246
"Saki,","Saki,_HH_Munro_Beasts_and_Super-Beasts_including_The_Seventh_Pullet_The_Forbidden_Buzzards_Cousin_Teresa_The_She-Wolf_and_more_than_20_others_1939_facsimile_182.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Saki_HH_Munro_Beasts_and_Super-Beasts_including_The_Seventh_Pullet_The_Forbidden_Buzzards_Cousin_Teresa_The_She-Wolf_and_more_than_20_others_1939_facsimile_182.jpg?v=1759996246
"Saki,","Saki,_HH_Munro_The_Toys_of_Peace_including_The_Mappined_Life_The_Seven_Cream_Jugs_The_Bull_The_Hedgehog_and_29_others_1939_facsimile_167.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Saki_HH_Munro_The_Toys_of_Peace_including_The_Mappined_Life_The_Seven_Cream_Jugs_The_Bull_The_Hedgehog_and_29_others_1939_facsimile_167.jpg?v=1759996246
"Saki,","Saki,_HH_Munro_Biography_of_Saki_by_his_sister_Ethel_Munro_including_drawings_by_Saki_1939_facsimile_81.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Saki_HH_Munro_Biography_of_Saki_by_his_sister_Ethel_Munro_including_drawings_by_Saki_1939_facsimile_81.jpg?v=1759996246
"Voltaire,","Voltaire,_Candide_Part_One_facsimile_c._1950_159.jpg",https://cdn.shopify.com/s/files/1/0960/9930/3717/files/Voltaire_Candide_Part_One_facsimile_c._1950_159.jpg?v=1759984956
