Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Price,Image Src,Image Alt Text
"Hardy, Thomas, The Withered Arm, 1896 facsimile (42)","Hardy, Thomas, The Withered Arm, 1896 facsimile (42 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/hardy-thomas-the-withered-arm-1896-facsimile-42.jpg?v=1760530323,"Hardy, Thomas, The Withered Arm, 1896 facsimile (42 pages)"
"Hardy, Thomas, Wessex Tales, 1896 facsimile (297)","Hardy, Thomas, Wessex Tales, 1896 facsimile (297 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/hardy-thomas-wessex-tales-1896-facsimile-297.jpg?v=1760530326,"Hardy, Thomas, Wessex Tales, 1896 facsimile (297 pages)"
"Johnson, Samuel, Rasselas, 1960 facsimile (125)","Johnson, Samuel, Rasselas, 1960 facsimile (125 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/johnson-samuel-rasselas-1960-facsimile-125.jpg?v=1760530330,"Johnson, Samuel, Rasselas, 1960 facsimile (125 pages)"
"Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120)","Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/joyce-james-3-stories-from-dubliners-a-mother-grace-the-dead-1914-facsimile-120.jpg?v=1760530333,"Joyce, James, 3 stories from Dubliners, A Mother, Grace, The Dead, 1914 facsimile (120 pages)"
"Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89)","Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/joyce-james-5-stories-from-dubliners-a-little-cloud-counterparts-clay-a-painful-case-ivy-day-in-the-committee-room-1914-facsimile-89.jpg?v=1760530336,"Joyce, James, 5 stories from Dubliners, A Little Cloud, Counterparts, Clay, A Painful Case, Ivy Day in the Committee Room, 1914 facsimile (89 pages)"
"Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82)","Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/joyce-james-7-stories-from-dubliners-the-sisters-an-encounter-araby-eveline-after-the-race-two-gallants-the-boarding-house-1914-facsimile-82.jpg?v=1760530340,"Joyce, James, 7 stories from Dubliners, The Sisters, An Encounter, Araby, Eveline, After the Race, Two Gallants, The Boarding House, 1914 facsimile (82 pages)"
"Joyce, James, Dubliners, complete, 1914 facsimile (278)","Joyce, James, Dubliners, complete, 1914 facsimile (278 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/joyce-james-dubliners-complete-1914-facsimile-278.jpg?v=1760530343,"Joyce, James, Dubliners, complete, 1914 facsimile (278 pages)"
"Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287)","Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/mansfield-katherine-bliss-and-other-stories-1921-facsimile-287.jpg?v=1760530346,"Mansfield, Katherine, Bliss and Other stories, 1921 facsimile (287 pages)"
"Mansfield, Katherine, Prelude, 1921 facsimile (77)","Mansfield, Katherine, Prelude, 1921 facsimile (77 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/mansfield-katherine-prelude-1921-facsimile-77.jpg?v=1760530349,"Mansfield, Katherine, Prelude, 1921 facsimile (77 pages)"
"Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88)","Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88 pages)",,TSM,story mural,,TRUE,Title,Default Title,,,,350.00,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/mansfield-katherine-seven-stories-from-bliss-1921-facsimile-88.jpg?v=1760531164,"Mansfield, Katherine, Seven stories from Bliss, 1921 facsimile (88 pages)"
