Slug,Shopify Image URL
poe-ea-the-oval-portrait-and-13-more-stories-including-the-black-cat-the-tell-tale-heart-and-the-pit-and-the-pendulum-1946-facsimile-161,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/poe-ea-the-oval-portrait-and-13-more-stories-including-the-black-cat-the-tell-tale-heart-and-the-pit-and-the-pendulum-1946-facsimile-161.jpg?v=1760531199
saki-hh-munro-beasts-and-super-beasts-including-the-seventh-pullet-the-forbidden-buzzards-cousin-teresa-the-she-wolf-and-more-than-20-others-1939-facsimile182,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-beasts-and-super-beasts-including-the-seventh-pullet-the-forbidden-buzzards-cousin-teresa-the-she-wolf-and-more-than-20-others-1939-facsimile182.jpg?v=1760531215
saki-hh-munro-beasts-and-super-beasts-including-the-seventh-pullet-the-she-wolf-laura-the-brogue-and-more-than-12-others-1939-facsimile-85,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-beasts-and-super-beasts-including-the-seventh-pullet-the-she-wolf-laura-the-brogue-and-more-than-12-others-1939-facsimile-85.jpg?v=1760531233
saki-hh-munro-beasts-and-super-beasts-including-the-she-wolf-the-boar-pig-laura-the-brogue-and-2-others-1939-facsimile-35,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-beasts-and-super-beasts-including-the-she-wolf-the-boar-pig-laura-the-brogue-and-2-others-1939-facsimile-35.jpg?v=1760531241
saki-hh-munro-biography-of-saki-by-his-sister-ethel-munro-including-drawings-by-saki-1939-facsimile-81,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-biography-of-saki-by-his-sister-ethel-munro-including-drawings-by-saki-1939-facsimile-81.jpg?v=1760531248
saki-hh-munro-the-chronicles-of-clovis-including-adrian-filboid-studge-the-way-to-the-dairy-the-secret-sin-of-septimus-brope-and-more-than-14-others-1939-facsimile-103,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-the-chronicles-of-clovis-including-adrian-filboid-studge-the-way-to-the-dairy-the-secret-sin-of-septimus-brope-and-more-than-14-others-1939-facsimile-103.jpg?v=1760531256
saki-hh-munro-the-chronicles-of-clovis-including-the-unrest-cure-tobermory-filboid-studge-sredni-vashtar-and-more-than-20-others-1939-facsimile-153,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-the-chronicles-of-clovis-including-the-unrest-cure-tobermory-filboid-studge-sredni-vashtar-and-more-than-20-others-1939-facsimile-153.jpg?v=1760531276
saki-hh-munro-the-chronicles-of-clovis-including-tobermory-the-jesting-of-arlington-stringham-mrs-packletides-tiger-and-six-others-1939-facsimile-50,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-the-chronicles-of-clovis-including-tobermory-the-jesting-of-arlington-stringham-mrs-packletides-tiger-and-six-others-1939-facsimile-50.jpg?v=1760531284
saki-hh-munro-the-toys-of-peace-including-the-mappined-life-the-bull-the-hedgehog-tea-and-20-others-1939-facsimile-120,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-the-toys-of-peace-including-the-mappined-life-the-bull-the-hedgehog-tea-and-20-others-1939-facsimile-120.jpg?v=1760531292
saki-hh-munro-the-toys-of-peace-including-the-mappined-life-the-seven-cream-jugs-the-bull-the-hedgehog-and-29-others-1939-facsimile-167,https://cdn.shopify.com/s/files/1/0960/9930/3717/files/saki-hh-munro-the-toys-of-peace-including-the-mappined-life-the-seven-cream-jugs-the-bull-the-hedgehog-and-29-others-1939-facsimile-167.jpg?v=1760531313
